Au"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"	"gene_id"
"ENSMUSG00000027581"	"OK"	"negbinomial.size"	5.28078776615894e-134	4.21785997220131e-132	"ENSMUSG00000027581"	"Stmn3"	"Stmn3"	19522	TRUE	"ENSMUSG00000027581"
"ENSMUSG00000062393"	"OK"	"negbinomial.size"	5.78385841816271e-52	1.49145024607424e-50	"ENSMUSG00000062393"	"Dgkk"	"Dgkk"	9358	TRUE	"ENSMUSG00000062393"
"ENSMUSG00000039278"	"OK"	"negbinomial.size"	3.87652638907763e-253	7.02056959417256e-251	"ENSMUSG00000039278"	"Pcsk1n"	"Pcsk1n"	17025	TRUE	"ENSMUSG00000039278"
"ENSMUSG00000031168"	"OK"	"negbinomial.size"	8.96424760681542e-59	2.57598074679244e-57	"ENSMUSG00000031168"	"Ebp"	"Ebp"	12405	TRUE	"ENSMUSG00000031168"
"ENSMUSG00000031176"	"OK"	"negbinomial.size"	2.22908989753645e-53	5.91449321194721e-52	"ENSMUSG00000031176"	"Dynlt3"	"Dynlt3"	19107	FALSE	"ENSMUSG00000031176"
"ENSMUSG00000058254"	"OK"	"negbinomial.size"	7.77174189911712e-68	2.69587706188751e-66	"ENSMUSG00000058254"	"Tspan7"	"Tspan7"	16703	TRUE	"ENSMUSG00000058254"
"ENSMUSG00000031007"	"OK"	"negbinomial.size"	2.70828523812432e-135	2.18557215460032e-133	"ENSMUSG00000031007"	"Atp6ap2"	"Atp6ap2"	17638	FALSE	"ENSMUSG00000031007"
"ENSMUSG00000000787"	"OK"	"negbinomial.size"	4.18201546032618e-69	1.4736400632258e-67	"ENSMUSG00000000787"	"Ddx3x"	"Ddx3x"	21115	FALSE	"ENSMUSG00000000787"
"ENSMUSG00000031059"	"OK"	"negbinomial.size"	9.09308709466999e-108	5.20679527571636e-106	"ENSMUSG00000031059"	"Ndufb11"	"Ndufb11"	27207	FALSE	"ENSMUSG00000031059"
"ENSMUSG00000016319"	"OK"	"negbinomial.size"	3.11779042145188e-205	4.33567730483152e-203	"ENSMUSG00000016319"	"Slc25a5"	"Slc25a5"	27562	FALSE	"ENSMUSG00000016319"
"ENSMUSG00000079641"	"OK"	"negbinomial.size"	5.01620928243965e-64	1.59443795048975e-62	"ENSMUSG00000079641"	"Rpl39"	"Rpl39"	27577	FALSE	"ENSMUSG00000079641"
"ENSMUSG00000016427"	"OK"	"negbinomial.size"	5.78274571171823e-62	1.7591067277346e-60	"ENSMUSG00000016427"	"Ndufa1"	"Ndufa1"	25509	FALSE	"ENSMUSG00000016427"
"ENSMUSG00000048970"	"OK"	"negbinomial.size"	4.88467722815954e-49	1.17951702059821e-47	"ENSMUSG00000048970"	"C1galt1c1"	"C1galt1c1"	7839	FALSE	"ENSMUSG00000048970"
"ENSMUSG00000001986"	"OK"	"negbinomial.size"	4.28179582783326e-43	8.7864255623851e-42	"ENSMUSG00000001986"	"Gria3"	"Gria3"	6236	TRUE	"ENSMUSG00000001986"
"ENSMUSG00000031104"	"OK"	"negbinomial.size"	4.11913156799915e-64	1.31466135597514e-62	"ENSMUSG00000031104"	"Rab33a"	"Rab33a"	3153	TRUE	"ENSMUSG00000031104"
"ENSMUSG00000067925"	"OK"	"negbinomial.size"	1.37862875314619e-37	2.5471106560204e-36	"ENSMUSG00000067925"	"Cxx1a"	"Cxx1a"	18003	FALSE	"ENSMUSG00000067925"
"ENSMUSG00000002015"	"OK"	"negbinomial.size"	3.27792944490072e-58	9.36766075308783e-57	"ENSMUSG00000002015"	"Bcap31"	"Bcap31"	21316	FALSE	"ENSMUSG00000002015"
"ENSMUSG00000002010"	"OK"	"negbinomial.size"	1.68128001996403e-35	2.89667437067918e-34	"ENSMUSG00000002010"	"Idh3g"	"Idh3g"	23267	FALSE	"ENSMUSG00000002010"
"ENSMUSG00000031328"	"OK"	"negbinomial.size"	4.85026181818288e-64	1.54484310466663e-62	"ENSMUSG00000031328"	"Flna"	"Flna"	7870	FALSE	"ENSMUSG00000031328"
"ENSMUSG00000008682"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000008682"	"Rpl10"	"Rpl10"	27541	TRUE	"ENSMUSG00000008682"
"ENSMUSG00000019087"	"OK"	"negbinomial.size"	1.68315846644158e-73	6.40958266866201e-72	"ENSMUSG00000019087"	"Atp6ap1"	"Atp6ap1"	19930	FALSE	"ENSMUSG00000019087"
"ENSMUSG00000031197"	"OK"	"negbinomial.size"	4.68542354042495e-49	1.13492179847774e-47	"ENSMUSG00000031197"	"Vbp1"	"Vbp1"	23438	TRUE	"ENSMUSG00000031197"
